family,entry,haplotype,gh_stake,tube,DPA,FW,DW,GW,GL
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,31,28,0.7946,0.4808,4.9171,8.6971
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,32,28,0.8292,0.507,4.8938,8.7686
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,33,28,0.8518,0.4976,5.0435,8.3615
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,34,28,0.8645,0.5343,4.963,8.7121
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,35,28,0.8507,0.5131,4.8087,8.755
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,36,28,0.7658,0.4704,4.7294,8.3262
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,37,28,0.7628,0.4644,4.7232,8.0253
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,38,28,0.7929,0.4668,4.8286,8.4291
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,39,28,0.7059,0.4756,4.5474,8.2656
7-956-2-12-1,7-956-2-12-1-69-07,CO2,4,40,28,0.8396,0.5099,4.8738,8.604
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,1,sen.,0.401875,0.401875,3.6151,6.9774
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,2,sen.,0.400725275,0.400725275,3.5752,6.9657
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,3,sen.,0.4559,0.4559,3.9097,7.3323
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,4,sen.,0.4706,0.4706,3.7665,7.233
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,5,sen.,0.4553,0.4553,3.7759,7.2495
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,6,sen.,0.4608,0.4608,3.8071,7.1501
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,7,sen.,0.4796,0.4796,3.9378,7.1599
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,8,sen.,0.4534,0.4534,3.6014,7.1593
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,9,sen.,0.4478,0.4478,3.5695,7.2204
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,10,sen.,0.4626,0.4626,3.6219,7.1489
7-956-2-19-1,7-956-2-19-1-44,W7984,2,11,sen.,0.303175532,0.303175532,3.177,6.6527
7-956-2-19-1,7-956-2-19-1-44,W7984,2,12,sen.,0.304453488,0.304453488,3.1913,6.6655
7-956-2-19-1,7-956-2-19-1-44,W7984,2,13,sen.,0.3093,0.3093,3.3216,7.064
7-956-2-19-1,7-956-2-19-1-44,W7984,2,14,sen.,0.3722,0.3722,3.2974,7.1387
7-956-2-19-1,7-956-2-19-1-44,W7984,2,15,sen.,0.3035,0.3035,3.0351,6.6758
7-956-2-19-1,7-956-2-19-1-44,W7984,2,16,sen.,0.3199,0.3199,3.1101,6.6685
7-956-2-19-1,7-956-2-19-1-44,W7984,2,17,sen.,0.3166,0.3166,3.0401,6.8949
7-956-2-19-1,7-956-2-19-1-44,W7984,2,18,sen.,0.2916,0.2916,2.9245,6.531
7-956-2-19-1,7-956-2-19-1-44,W7984,2,19,sen.,0.3334,0.3334,3.0898,6.8655
