Entry,chr5AS_status,KASP_341510829,BLUP_TGW,BLUP_GL,BLUP_GW,BLUP_SPS,BLUP_HD,BLUP_GFD,BLUP_HT
7-956-2-19-1-18-16,present,Opata,36.15049983,6.639503553,3.374465707,13.94266164,172.0452694,28.81446969,68.2379085
7-956-2-19-1-31-03,present,Opata,37.89503477,6.643228092,3.407997493,13.58877977,170.8829781,27.6480854,69.59156375
7-956-2-19-1-31-05,present,Opata,36.34057819,6.535729334,3.389817723,13.60753989,170.9996623,27.77002008,68.89474775
7-956-2-19-1-33-01,present,Opata,35.45755669,6.537594665,3.345125394,13.63776957,171.0766933,27.86364943,66.29794747
7-956-2-19-1-33-09,present,Opata,37.00540042,6.626522159,3.39215198,13.63360676,170.7594057,27.53450931,68.38029757
7-956-2-19-1-33-11,present,Opata,38.07636711,6.594304955,3.433529767,13.37597181,170.9996623,27.78213444,67.1742083
7-956-2-19-1-33-14,present,Opata,35.73583142,6.664316828,3.315698902,13.71533667,170.7594057,27.52390924,69.88576959
7-956-2-19-1-44,absent,W7984,29.98306878,6.314930186,3.091192464,13.30012402,172.2009452,28.99300277,65.01497571
7-956-2-19-1-47-01,present,Opata,36.73083402,6.587638905,3.40309842,13.49150813,169.5581228,26.3508983,66.6683164
7-956-2-19-1-47-04,present,Opata,35.32929141,6.563577992,3.361575694,13.54703767,172.0452694,28.83156583,65.75990278
7-956-2-19-1-47-09,present,Opata,37.97315475,6.622143359,3.4509507,13.50395336,169.3178662,26.09418739,69.16481026
7-956-2-19-1-54,present,Opata,35.34347536,6.634448031,3.347579946,13.830192,171.9606886,28.76657778,63.21012095
7-956-2-30-1-22-01,absent,W7984,33.99602183,7.066754356,3.066673501,13.64191112,171.8515542,28.6184441,68.69951825
7-956-2-30-1-22-02,absent,W7984,33.00367056,7.062824309,3.057124589,13.23201577,172.2009452,28.98845989,65.66017801
7-956-2-30-1-26-01,absent,W7984,33.5304286,7.056525197,3.060011697,13.63831246,171.720432,28.51592406,64.84634508
7-956-2-30-1-26-02,absent,W7984,34.27467194,7.1373006,3.090295618,13.50444879,172.2009452,29.00208855,63.72457113
7-956-2-46-1-04-01,absent,W7984,28.19163751,6.364161106,2.971395908,12.89450832,170.038636,26.82646272,67.05201447
7-956-2-46-1-07-11,absent,W7984,29.81420205,6.578428748,3.005230357,12.9478185,169.7983794,26.59095195,66.53756429
7-956-2-46-1-07-12,absent,W7984,27.83064429,6.553115769,2.929930234,13.24444326,172.1142192,28.91032423,64.55902955
7-956-2-46-1-07-13,absent,W7984,30.77771516,6.617079607,3.044556455,12.65705813,168.8373531,25.65042318,64.26469614
7-956-2-46-1-07-15,absent,W7984,27.63530966,6.550198943,2.885544371,13.47602907,171.9606886,28.73780617,67.29640214
7-956-2-46-1-11-01,absent,W7984,26.45789583,6.238558045,2.91796598,13.22966292,171.720432,28.50380969,66.56688453
7-956-2-46-1-24-02,absent,W7984,29.27619519,6.448997295,2.993731067,13.04787576,170.7594057,27.56782381,63.64881409
7-956-2-50-1-01,present,Opata,37.05567389,6.654800889,3.300280516,13.55540613,171.4801754,28.23195584,71.2140527
7-956-2-50-1-05-04,absent,W7984,29.78877791,6.447627391,2.995598473,13.37176155,172.9217149,29.67682064,69.78433772
7-956-2-50-1-05-05,absent,W7984,30.04597002,6.548817418,3.001878256,13.64398189,172.2389847,28.98973567,70.78530568
7-956-2-50-1-05-08,absent,W7984,30.31569325,6.509945786,3.013080834,13.8189232,172.4412018,29.18914186,71.1211791
7-956-2-50-1-23-11,absent,W7984,29.52584057,6.452333188,3.026287424,13.52158903,169.5269715,26.29544475,69.99082549
7-956-2-50-1-23-12,absent,W7984,29.55851917,6.2336533,3.045625299,13.35108136,171.4801754,28.24861309,68.84831095
7-956-2-50-1-23-13,absent,W7984,31.98406676,6.54273786,3.10638971,13.52228071,170.2788925,27.04531623,69.93220639
7-956-2-50-1-23-14,absent,W7984,31.02551774,6.573413921,3.055539751,13.16694135,170.038636,26.81889124,68.12735162
7-956-2-50-1-23-16,absent,W7984,31.24605916,6.51189056,3.080811161,13.65193411,171.720432,28.49472392,67.85728912
7-956-2-50-1-44-07,absent,W7984,32.22892151,6.734621791,3.065361816,13.34366741,174.3698521,31.12403636,68.89360574
7-956-2-50-1-44-08,absent,W7984,33.27958184,6.786722789,3.10531531,13.94784594,174.3278561,31.07965549,69.14687747
