,entry,BLUP_TGW,BLUP_GL,BLUP_GW,BLUP_SPS,BLUP_HD,BLUP_GFD,BLUP_HT
96,7-956-2-46-1-04-01,32.35360147,6.458836854,3.169521441,12.79567909,169.8886285,26.64330947,66.68448888
97,7-956-2-46-1-07-11,33.84610385,6.67237949,3.199430254,12.83934739,169.6485738,26.40325475,66.02222892
98,7-956-2-46-1-07-12,32.06509774,6.646479524,3.135849739,13.27260583,171.9650933,28.71977434,65.20213136
99,7-956-2-46-1-07-13,34.73238331,6.710899568,3.234193548,12.4754449,168.6883549,25.44303585,63.15243578
100,7-956-2-46-1-07-15,31.84186796,6.644245205,3.093630814,13.52348408,171.8090663,28.56374725,68.00900879
101,7-956-2-46-1-11-01,30.75883372,6.333658789,3.122290712,13.24691819,171.5690115,28.32369253,67.12599552
102,7-956-2-46-1-24-02,33.35122275,6.543385987,3.189265168,12.99946449,170.6087926,27.36347364,63.59394242
103,7-956-2-50-1-01,34.36788648,6.606940668,3.178577094,13.42505033,171.5874114,28.34209237,69.83112107
104,7-956-2-50-1-05-04,33.82271767,6.542020719,3.190915908,13.46525969,172.7692852,29.52396615,71.09955526
105,7-956-2-50-1-05-05,34.06745717,6.6432593,3.196167646,13.72332796,172.084312,28.83899298,71.78121172
106,7-956-2-50-1-05-08,34.30739633,6.60412825,3.206369881,13.91649878,172.2891757,29.0438567,72.20332185
107,7-956-2-50-1-23-11,33.58138443,6.547037548,3.21825011,13.43107787,169.3741363,26.12881733,69.43037384
108,7-956-2-50-1-23-12,33.6109161,6.32877064,3.23513838,13.36336699,171.3289568,28.08363781,69.33352871
109,7-956-2-50-1-23-13,35.84203571,6.636809367,3.28885261,13.47981579,170.1286832,26.88336419,69.77503535
110,7-956-2-50-1-23-14,34.96032243,6.667381632,3.243902509,13.08680109,169.8886285,26.64330947,67.78825548
111,7-956-2-50-1-23-16,35.16318561,6.606066444,3.266241808,13.69815728,171.5690115,28.32369253,68.45051543
112,7-956-2-50-1-44-07,36.10747472,6.828558209,3.253599897,13.53273008,174.2137357,30.96841671,71.05787698
113,7-956-2-50-1-44-08,36.951021,6.879041264,3.285239549,14.14143448,174.1762829,30.9309639,71.15123556
114,7-956-2-50-1-44-09,36.99719121,6.922908057,3.278296569,14.24429549,176.1495755,32.90425647,73.0470475
115,7-956-2-50-1-44-10,37.08908238,6.846914452,3.279469453,13.66904508,174.2096135,30.96429449,69.11277539
116,7-956-2-50-1-50,34.64571516,6.683716095,3.219630106,13.58170848,172.5292304,29.28391142,71.32030858
117,7-956-2-50-1-54-07,35.60760545,6.638835789,3.266713797,13.76839845,171.5705035,28.32518446,71.9742664
118,7-956-2-50-1-55-02,32.37742573,6.591170388,3.130403233,13.65448898,173.2493946,30.00407559,70.21654198
119,7-956-2-50-1-61-06,33.55419391,6.515434551,3.205881175,13.62537678,170.6087926,27.36347364,68.45051543
120,7-956-2-50-1-61-09,34.77964638,6.620669044,3.260068498,13.52002355,169.5677203,26.3224013,74.85538433
121,7-956-2-89-2-17-01,35.8764712,6.833380217,3.266783115,13.84717722,170.8672472,27.6219282,66.29906796
122,7-956-2-89-2-17-02,34.67403957,6.879811599,3.210473648,13.39063401,171.9042813,28.65896233,72.97578299
123,7-956-2-89-2-22-01,38.42388609,7.150404648,3.27104999,13.27284396,170.9897515,27.74443253,68.35759273
124,7-956-2-89-2-22-02,39.92813793,7.356887584,3.308388294,13.19215273,172.3075756,29.06225654,68.50660115
125,7-956-2-9-2-03-02,38.24964482,6.892391514,3.303218869,13.32315763,173.5078492,30.26253016,54.15763542
126,7-956-2-9-2-03-05,38.20285157,6.836976237,3.325786231,13.81806502,173.7479039,30.50258488,56.14441529
127,7-956-2-9-2-07-01,31.60441048,6.928144485,3.112862414,12.34789894,171.3473567,28.10203765,65.19530137
128,7-956-2-9-2-20-01,37.76554021,6.876373988,3.327741055,13.71617232,171.5874114,28.34209237,62.1047549
129,7-956-2-9-2-21-05,41.13736203,7.039755193,3.391794134,13.39593813,172.5476303,29.30231127,60.55948167
