order,Group,Group_n,entry,TGW_BLUP,GW_BLUP,GL_BLUP,SPS_BLUP,HD_BLUP,HT_BLUP,GFD_BLUP,Phenotype_TGW,Phenotype_GW,CO
0.9,8,Group 8 (12),7-956-2-50-1-44-07,32.22892151,3.065361816,6.734621791,13.34366741,174.3698521,68.89360574,31.12403636,W7984,W7984,423:436
0.9,8,Group 8 (12),7-956-2-50-1-44-08,33.27958184,3.10531531,6.786722789,13.94784594,174.3278561,69.14687747,31.07965549,W7984,W7984,423:436
0.9,8,Group 8 (12),7-956-2-50-1-44-09,33.18097603,3.092660635,6.829229011,13.90549712,176.3070043,69.76452086,33.04643647,W7984,W7984,423:436
0.9,8,Group 8 (12),7-956-2-50-1-44-10,33.33978567,3.09577498,6.75355628,13.4877933,174.3632544,67.06421815,31.13077122,W7984,W7984,423:436
1,9,Group 9 (2),7-956-2-46-1-07-12,27.83064429,2.929930234,6.553115769,13.24444326,172.1142192,64.55902955,28.91032423,W7984,W7984,385:404
1,9,Group 9 (2),7-956-2-50-1-55-02,28.21753791,2.927143298,6.496943931,13.52395256,173.4022281,68.66256376,30.16298513,W7984,W7984,385:404
1.1,10,Group 10 (5),7-1201-10-43-2-03,38.52362372,3.353557142,6.6799645,13.72316684,173.1880806,71.28139081,29.91448789,Opata,Opata,334:337
1.1,10,Group 10 (5),7-1201-10-43-2-12,34.93482971,3.23579766,6.453967884,13.9795687,174.1367821,67.76771562,30.88405398,Opata,Opata,334:337
1.1,10,Group 10 (5),7-1201-10-43-2-16,37.63250296,3.327334076,6.679575884,13.6415942,172.5556129,69.69658233,29.29667159,Opata,Opata,334:337
1.1,10,Group 10 (5),7-1201-10-45-2-43,35.95289306,3.280871546,6.569364104,14.09153446,174.239347,64.89483468,31.00587502,Opata,Opata,334:337
1.1,10,Group 10 (5),7-1201-10-45-2-61,37.93718792,3.375437669,6.814576012,13.13194257,171.9273034,71.57265597,28.65876042,Opata,Opata,334:337
1.2,11,Group 11 (1),7-956-2-12-1-35-08,32.68754997,3.127164602,6.515095157,13.72357164,172.4412018,77.57320204,29.143713,W7984,W7984,380:383
1.3,12,Group 12 (1),7-956-2-19-1-31-05,36.34057819,3.389817723,6.535729334,13.60753989,170.9996623,68.89474775,27.77002008,Opata,Opata,374:378
1.4,13,Group 13 (1),7-956-2-50-1-50,30.68349442,3.02808151,6.589803843,13.49317999,172.6814583,70.13015726,29.43525269,W7984,W7984,349:367
1.5,14,Group 14 (15),7-956-2-12-1-16,38.11080581,3.332358129,6.60243876,12.99270816,173.4022281,77.26526101,30.10241331,Opata,Opata,339:341
1.5,14,Group 14 (15),7-956-2-12-1-22-08,35.88943337,3.247173131,6.435233722,13.8825553,176.5007196,82.40094131,33.15209672,Opata,Opata,339:341
1.5,14,Group 14 (15),7-956-2-12-1-22-12,37.10963704,3.252577666,6.563823674,13.81165905,176.6944348,87.60334461,33.30904541,Opata,Opata,339:341
1.5,14,Group 14 (15),7-956-2-12-1-22-14,36.38877567,3.249762268,6.610083312,14.00473506,177.0060768,80.68066507,33.66536072,Opata,Opata,339:341
1.5,14,Group 14 (15),7-956-2-12-1-53-09,38.57678628,3.33454496,6.756271625,12.81476014,181.5709518,86.79907214,38.16580831,Opata,Opata,339:341
1.5,14,Group 14 (15),7-956-2-12-1-69-02,38.39986711,3.374165911,6.663741957,13.74307541,173.6424847,70.68248596,30.38789583,Opata,Opata,339:341
1.5,14,Group 14 (15),7-956-2-12-1-69-03,36.64319872,3.342906379,6.398617279,13.34350409,178.8253022,68.18860428,35.56424026,Opata,Opata,339:341
1.5,14,Group 14 (15),7-956-2-12-1-69-04,39.39323484,3.42576529,6.580055509,13.59961479,177.7268465,75.12679038,34.42186477,Opata,Opata,339:341
1.5,14,Group 14 (15),7-956-2-12-1-69-07,40.19885864,3.439709407,6.704643373,13.74542825,174.1229978,72.78672347,30.85134589,Opata,Opata,339:341
1.5,14,Group 14 (15),7-956-2-12-1-69-10,39.39830111,3.421203099,6.593403785,13.30873698,174.5635673,70.20200007,31.30785041,Opata,Opata,339:341
1.5,14,Group 14 (15),7-956-2-12-1-69-12,38.87295307,3.369583873,6.5884017,13.70790315,177.4692957,69.82686888,34.20305153,Opata,Opata,339:341
1.5,14,Group 14 (15),7-956-2-12-1-69-14,39.48851102,3.432465834,6.648023805,13.87013066,174.1761369,74.84222815,30.89015502,Opata,Opata,339:341
1.5,14,Group 14 (15),7-956-2-12-1-22-11,36.94668478,3.267666969,6.615377582,13.63079459,176.5007196,85.23294784,33.13255827,Opata,Opata,339:341
1.5,14,Group 14 (15),7-956-2-12-1-22-06,34.8752503,3.222270849,6.368732522,13.64752409,175.144713,87.04821284,31.7701484,Opata,Opata,339:341
1.5,14,Group 14 (15),7-956-2-12-1-53-06,33.87940078,3.206966338,6.390350276,13.93401169,178.438896,79.03714039,35.09845037,Opata,Opata,339:341
